127.0.0.1 - - [19/Jun/2019:10:16:52 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:16:53 +0900] "GET /max_html/01.html/html_Day01/2.BackE1.html HTTP/1.1" 200 1741
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:16:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
192.168.0.21 - - [19/Jun/2019:10:16:54 +0900] "GET /html_Day01/0.index.html HTTP/1.1" 404 1142
192.168.0.21 - - [19/Jun/2019:10:16:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:18:00 +0900] "GET /max_html/01.html/html_Day02/3.bodyTag.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:18:00 +0900] "GET /max_html/01.html/image/imgtest.jpg HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:18:15 +0900] "GET /max_html/01.html/image/imgtest.jpg HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:19:06 +0900] "GET /max_html/01.html/image/imgtest.jpg HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:34 +0900] "GET /max_html/easyui_/Lay_out/layout.html HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:34 +0900] "GET /max_html/themes/default/easyui.css HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:34 +0900] "GET /max_html/jquery.easyui.min.js HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:34 +0900] "GET /max_html/themes/icon.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:34 +0900] "GET /max_html/easyui_/demo.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:34 +0900] "GET /max_html/jquery.min.js HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:34 +0900] "GET /max_html/jquery.easyui.min.js HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:44 +0900] "GET /max_html/themes/icon.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:44 +0900] "GET /max_html/themes/default/easyui.css HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:20:44 +0900] "GET /max_html/easyui_/demo.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [19/Jun/2019:10:33:08 +0900] "GET /max_html/easyui_/Lay_out/layout.html HTTP/1.1" 200 2363
